transaction_id,posting_date,account,debit,credit,memo,entity,source,evidence,label_source,pipeline_version,run_id
bank:showcase_demo_transactions:21,2026-02-12,Other Expense,162.83,,AT&T WIRELESS,AT&T WIRELESS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:21,2026-02-12,Bank Clearing,,162.83,AT&T WIRELESS,AT&T WIRELESS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:22,2026-02-13,Equipment & Software,15.99,,ZOOM.US,ZOOM.US,bank,"evidence:[""bank_transaction""] | reason:keyword:zoom",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:22,2026-02-13,Bank Clearing,,15.99,ZOOM.US,ZOOM.US,bank,"evidence:[""bank_transaction""] | reason:keyword:zoom",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:23,2026-02-13,Equipment & Software,12.50,,SLACK TECHNOLOGIES,SLACK TECHNOLOGIES,bank,"evidence:[""bank_transaction""] | reason:eqs_high:slack",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:23,2026-02-13,Bank Clearing,,12.50,SLACK TECHNOLOGIES,SLACK TECHNOLOGIES,bank,"evidence:[""bank_transaction""] | reason:eqs_high:slack",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:24,2026-02-14,COGS,214.67,,COSTCO WHOLESALE,COSTCO WHOLESALE,bank,"evidence:[""bank_transaction""] | reason:cogs_high:wholesale",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:24,2026-02-14,Bank Clearing,,214.67,COSTCO WHOLESALE,COSTCO WHOLESALE,bank,"evidence:[""bank_transaction""] | reason:cogs_high:wholesale",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:25,2026-02-14,Meals & Entertainment,41.22,,DOORDASH DASHMART,DOORDASH DASHMART,bank,"evidence:[""bank_transaction""] | reason:keyword:doordash",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:25,2026-02-14,Bank Clearing,,41.22,DOORDASH DASHMART,DOORDASH DASHMART,bank,"evidence:[""bank_transaction""] | reason:keyword:doordash",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:26,2026-02-15,Other Expense,95.00,,QUICKBOOKS ONLINE,QUICKBOOKS ONLINE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:26,2026-02-15,Bank Clearing,,95.00,QUICKBOOKS ONLINE,QUICKBOOKS ONLINE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:27,2026-02-15,Bank Clearing,960.00,,INTUIT PAYMENTS DEPOSIT,INTUIT PAYMENTS DEPOSIT,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:27,2026-02-15,Income,,960.00,INTUIT PAYMENTS DEPOSIT,INTUIT PAYMENTS DEPOSIT,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:28,2026-02-16,Other Expense,276.15,,LOWES HOME CENTERS,LOWES HOME CENTERS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:28,2026-02-16,Bank Clearing,,276.15,LOWES HOME CENTERS,LOWES HOME CENTERS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:29,2026-02-16,Equipment & Software,22.00,,MICROSOFT 365,MICROSOFT 365,bank,"evidence:[""bank_transaction""] | reason:keyword:microsoft",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:29,2026-02-16,Bank Clearing,,22.00,MICROSOFT 365,MICROSOFT 365,bank,"evidence:[""bank_transaction""] | reason:keyword:microsoft",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:30,2026-02-17,Other Expense,34.61,,UPS STORE,UPS STORE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:30,2026-02-17,Bank Clearing,,34.61,UPS STORE,UPS STORE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:31,2026-02-17,Other Expense,145.20,,VERIZON BUSINESS,VERIZON BUSINESS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:31,2026-02-17,Bank Clearing,,145.20,VERIZON BUSINESS,VERIZON BUSINESS,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:32,2026-02-18,Vehicle Expenses,57.91,,CHEVRON 009317,CHEVRON 009317,bank,"evidence:[""bank_transaction""] | reason:keyword:chevron",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:32,2026-02-18,Bank Clearing,,57.91,CHEVRON 009317,CHEVRON 009317,bank,"evidence:[""bank_transaction""] | reason:keyword:chevron",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:33,2026-02-18,Payroll & Contractors,73.50,,ADP PAYROLL FEES,ADP PAYROLL FEES,bank,"evidence:[""bank_transaction""] | reason:keyword:payroll",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:33,2026-02-18,Bank Clearing,,73.50,ADP PAYROLL FEES,ADP PAYROLL FEES,bank,"evidence:[""bank_transaction""] | reason:keyword:payroll",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:34,2026-02-19,Other Expense,28.44,,SWEETGREEN,SWEETGREEN,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:34,2026-02-19,Bank Clearing,,28.44,SWEETGREEN,SWEETGREEN,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:35,2026-02-19,Other Expense,24.00,,AIRTABLE,AIRTABLE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:35,2026-02-19,Bank Clearing,,24.00,AIRTABLE,AIRTABLE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:36,2026-02-20,Bank Clearing,735.00,,PAYPAL TRANSFER,PAYPAL TRANSFER,bank,"evidence:[""bank_transaction""] | reason:keyword:nsf",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:36,2026-02-20,Income,,735.00,PAYPAL TRANSFER,PAYPAL TRANSFER,bank,"evidence:[""bank_transaction""] | reason:keyword:nsf",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:37,2026-02-20,Other Expense,132.09,,WALMART SUPERCENTER,WALMART SUPERCENTER,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:37,2026-02-20,Bank Clearing,,132.09,WALMART SUPERCENTER,WALMART SUPERCENTER,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:38,2026-02-21,Other Expense,84.31,,ALDI GROCERY,ALDI GROCERY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:38,2026-02-21,Bank Clearing,,84.31,ALDI GROCERY,ALDI GROCERY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:39,2026-02-21,Other Expense,14.99,,CANVA PRO,CANVA PRO,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:39,2026-02-21,Bank Clearing,,14.99,CANVA PRO,CANVA PRO,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:40,2026-02-22,Other Expense,219.84,,PARTS AUTHORITY,PARTS AUTHORITY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:40,2026-02-22,Bank Clearing,,219.84,PARTS AUTHORITY,PARTS AUTHORITY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:41,2026-02-22,Other Expense,19.76,,LYFT RIDE,LYFT RIDE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:41,2026-02-22,Bank Clearing,,19.76,LYFT RIDE,LYFT RIDE,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:42,2026-02-23,Financial Fees,42.00,,CHASE MERCHANT SERVICES FEE,CHASE MERCHANT SERVICES FEE,bank,"evidence:[""bank_transaction""] | reason:financial_medium:fee",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:42,2026-02-23,Bank Clearing,,42.00,CHASE MERCHANT SERVICES FEE,CHASE MERCHANT SERVICES FEE,bank,"evidence:[""bank_transaction""] | reason:financial_medium:fee",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:43,2026-02-23,Equipment & Software,20.00,,CLOUDFLARE,CLOUDFLARE,bank,"evidence:[""bank_transaction""] | reason:eqs_medium:cloud",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:43,2026-02-23,Bank Clearing,,20.00,CLOUDFLARE,CLOUDFLARE,bank,"evidence:[""bank_transaction""] | reason:eqs_medium:cloud",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:44,2026-02-24,Office Supplies,58.42,,STAPLES,STAPLES,bank,"evidence:[""bank_transaction""] | reason:keyword:staples",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:44,2026-02-24,Bank Clearing,,58.42,STAPLES,STAPLES,bank,"evidence:[""bank_transaction""] | reason:keyword:staples",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:45,2026-02-24,Other Expense,79.00,,SHOPIFY,SHOPIFY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:45,2026-02-24,Bank Clearing,,79.00,SHOPIFY,SHOPIFY,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:46,2026-02-25,Equipment & Software,189.00,,TOAST POS SUBSCRIPTION,TOAST POS SUBSCRIPTION,bank,"evidence:[""bank_transaction""] | reason:eqs_medium:subscription",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:46,2026-02-25,Bank Clearing,,189.00,TOAST POS SUBSCRIPTION,TOAST POS SUBSCRIPTION,bank,"evidence:[""bank_transaction""] | reason:eqs_medium:subscription",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:47,2026-02-25,Bank Clearing,1685.00,,TOAST PAYOUT,TOAST PAYOUT,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:47,2026-02-25,Income,,1685.00,TOAST PAYOUT,TOAST PAYOUT,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:48,2026-02-26,Travel,486.33,,MARRIOTT ATLANTA MIDTOWN,MARRIOTT ATLANTA MIDTOWN,bank,"evidence:[""bank_transaction""] | reason:keyword:marriott",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:48,2026-02-26,Bank Clearing,,486.33,MARRIOTT ATLANTA MIDTOWN,MARRIOTT ATLANTA MIDTOWN,bank,"evidence:[""bank_transaction""] | reason:keyword:marriott",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:49,2026-02-26,Travel,62.40,,DELTA SKYMILES,DELTA SKYMILES,bank,"evidence:[""bank_transaction""] | reason:keyword:delta",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:49,2026-02-26,Bank Clearing,,62.40,DELTA SKYMILES,DELTA SKYMILES,bank,"evidence:[""bank_transaction""] | reason:keyword:delta",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:50,2026-02-27,Equipment & Software,29.99,,ADOBE STOCK,ADOBE STOCK,bank,"evidence:[""bank_transaction""] | reason:keyword:adobe",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:50,2026-02-27,Bank Clearing,,29.99,ADOBE STOCK,ADOBE STOCK,bank,"evidence:[""bank_transaction""] | reason:keyword:adobe",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:51,2026-02-27,Equipment & Software,47.12,,OPENAI API,OPENAI API,bank,"evidence:[""bank_transaction""] | reason:eqs_high:openai",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:51,2026-02-27,Bank Clearing,,47.12,OPENAI API,OPENAI API,bank,"evidence:[""bank_transaction""] | reason:eqs_high:openai",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:52,2026-02-28,Other Expense,624.18,,SYSCO FOOD SERVICES,SYSCO FOOD SERVICES,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:52,2026-02-28,Bank Clearing,,624.18,SYSCO FOOD SERVICES,SYSCO FOOD SERVICES,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:53,2026-02-28,Other Expense,118.76,,REPUBLIC SERVICES,REPUBLIC SERVICES,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:53,2026-02-28,Bank Clearing,,118.76,REPUBLIC SERVICES,REPUBLIC SERVICES,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:54,2026-03-01,Travel,36.90,,UBER EATS,UBER EATS,bank,"evidence:[""bank_transaction""] | reason:keyword:uber",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:54,2026-03-01,Bank Clearing,,36.90,UBER EATS,UBER EATS,bank,"evidence:[""bank_transaction""] | reason:keyword:uber",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:55,2026-03-01,Bank Clearing,1930.00,,STRIPE TRANSFER,STRIPE TRANSFER,bank,"evidence:[""bank_transaction""] | reason:keyword:nsf",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:55,2026-03-01,Income,,1930.00,STRIPE TRANSFER,STRIPE TRANSFER,bank,"evidence:[""bank_transaction""] | reason:keyword:nsf",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:56,2026-03-02,Repairs & Maintenance,92.14,,HOME DEPOT #4651,HOME DEPOT #4651,bank,"evidence:[""bank_transaction""] | reason:keyword:home_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:56,2026-03-02,Bank Clearing,,92.14,HOME DEPOT #4651,HOME DEPOT #4651,bank,"evidence:[""bank_transaction""] | reason:keyword:home_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:57,2026-03-02,Office Supplies,64.87,,OFFICE DEPOT #221,OFFICE DEPOT #221,bank,"evidence:[""bank_transaction""] | reason:off_high:office_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:57,2026-03-02,Bank Clearing,,64.87,OFFICE DEPOT #221,OFFICE DEPOT #221,bank,"evidence:[""bank_transaction""] | reason:off_high:office_depot",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:58,2026-03-03,Advertising & Marketing,315.00,,GOOGLE ADS,GOOGLE ADS,bank,"evidence:[""bank_transaction""] | reason:mkt_high:google_ads",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:58,2026-03-03,Bank Clearing,,315.00,GOOGLE ADS,GOOGLE ADS,bank,"evidence:[""bank_transaction""] | reason:mkt_high:google_ads",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:59,2026-03-03,Advertising & Marketing,280.00,,FACEBOOK ADS,FACEBOOK ADS,bank,"evidence:[""bank_transaction""] | reason:mkt_high:facebook_ads",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:59,2026-03-03,Bank Clearing,,280.00,FACEBOOK ADS,FACEBOOK ADS,bank,"evidence:[""bank_transaction""] | reason:mkt_high:facebook_ads",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:60,2026-03-04,Other Expense,142.50,,SWEET HUT CATERING,SWEET HUT CATERING,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
bank:showcase_demo_transactions:60,2026-03-04,Bank Clearing,,142.50,SWEET HUT CATERING,SWEET HUT CATERING,bank,"evidence:[""bank_transaction""] | reason:fallback:Other Expense",ml,product_demo_v1,pipeline_20260427T200218Z
